Timestamp,City,State,Shape,Duration,Summary,Posted,Images,Updated_Duration,Coords,Lat,Lng,geometry
2021-09-11 15:30:00,York,PA,Cylinder,5-10 minutes,Shiny upright cylinder that rotated seen by three witnesses,2021-10-19,0,5.0,"(-76.73466492, 39.96033859)",-76.73466492,39.96033859,POINT (-76.73466492 39.96033859)
2021-09-11 04:30:00,Grand Rapids,MI,Circle,4 seconds,"On September 11, 2021 I was awoken with the sprinkler system turning on at 4:20 AM. A beam of light coming down from the sky shined int",2021-10-19,0,0.06666666666666667,"(-85.67017365, 42.96546173)",-85.67017365,42.96546173,POINT (-85.67017365 42.96546173)
2021-09-10 23:30:00,Sweetwater,TX,Triangle,A few seconds,Triangular craft above Texas sky.,2021-10-19,0,0.05,"(-100.40737915, 32.47061157)",-100.40737915,32.47061157,POINT (-100.40737915 32.47061157)
2021-09-10 23:30:00,Sweetwater,TX,Egg,8 seconds,Was sitting next to a little bawnfire talking and listening to music when I took a drink and looked up to see 5 small crafts flying in,2021-10-19,0,0.13333333333333333,"(-100.40737915, 32.47061157)",-100.40737915,32.47061157,POINT (-100.40737915 32.47061157)
2021-09-10 22:15:00,Kennebunk,ME,Flash,1 minute,2 Green Flashing Lights moving unbelievably fast,2021-10-19,0,1.0,"(-70.53782654, 43.38738632)",-70.53782654,43.38738632,POINT (-70.53782654 43.38738632)
2021-09-10 11:25:00,Mt. Vernon,IN,Other,,MADAR Node 119,2021-10-19,0,1.0,"(-87.89557648, 37.93217468)",-87.89557648,37.93217468,POINT (-87.89557648 37.93217468)
2021-09-10 00:30:00,Brunswick,GA,Cigar,10:00,"A multi colored cigar shaped object emitting no sound and the size of a school bus, glided over the tope of my truck while stopped.",2021-10-19,0,1.0,"(-81.50247955, 31.16899109)",-81.50247955,31.16899109,POINT (-81.50247955 31.16899109)
2021-09-10 00:30:00,Brunswick,GA,Cigar,10:00,Friday Morning: 9/10/2021 Time: 00:30 I had just gotten off work and was driving north on highway 17 in Brunswick. I noticed a bright,2021-10-19,0,1.0,"(-81.50247955, 31.16899109)",-81.50247955,31.16899109,POINT (-81.50247955 31.16899109)
2021-09-09 21:17:00,Marietta,GA,Fireball,2 minutes,Saw pulsing orb in sky followed by plasma/fireballs above my street,2021-10-19,0,2.0,"(-84.54904938, 33.95230484)",-84.54904938,33.95230484,POINT (-84.54904938 33.95230484)
2021-09-09 20:00:00,Seguin,TX,Teardrop,10 minutes,Driving in my car I saw a black object floating in the sky over a field. I pulled over to get a better look. It was moving but not v,2021-10-19,0,10.0,"(-97.96854401, 29.58079147)",-97.96854401,29.58079147,POINT (-97.96854401 29.58079147)
2021-09-09 00:45:00,North Lima,OH,Triangle,5-10 minutes,"Triangular object w/ green lights hovering, keeping pace w/vehicle at 65mph.",2021-10-19,0,5.0,"(-80.65850067, 40.9482193)",-80.65850067,40.9482193,POINT (-80.65850067 40.9482193)
2021-09-09 00:01:00,Unkone,WA,Other,Seconds,I have pics of a craft that is miles big and a craft come out of the bigger one a clear clean pictur,2022-03-04,1,0.05,"(-120.55638123, 47.41137314)",-120.55638123,47.41137314,POINT (-120.55638123 47.41137314)
2021-09-08 22:20:00,Federal Way,WA,Teardrop,5 seconds,was driving to work i looked up and saw 3 teardrop shaped crafts that were rockets a few mile apart from each other in guessing I drove,2021-10-19,0,0.08333333333333333,"(-122.33465576, 47.31517792)",-122.33465576,47.31517792,POINT (-122.33465576 47.31517792)
2021-09-08 20:48:00,York,PA,Diamond,1 minute,Diamond-shaped object with lights seen flying over Interstate 83.,2021-10-19,0,1.0,"(-76.73466492, 39.96033859)",-76.73466492,39.96033859,POINT (-76.73466492 39.96033859)
2021-09-08 19:13:00,Leonardo,NJ,Cigar,Seconds,Black tic tac shaped object observed in photo of sky at sunset,2021-10-19,0,0.05,"(-74.05687714, 40.4185791)",-74.05687714,40.4185791,POINT (-74.05687714 40.4185791)
2021-09-08 17:30:00,Duluth,MN,Other,5 minutes,We stopped at a wayside rest on the Scenic Highway heading back towards Duluth. We were sitting on top of this cliff watching the lake,2021-10-19,0,5.0,"(-92.10551453, 46.78283691)",-92.10551453,46.78283691,POINT (-92.10551453 46.78283691)
2021-09-08 16:30:00,Duluth,MN,Other,5 minutes,We stopped at a wayside rest on the Scenic Highway heading back towards Duluth. We were sitting on top of this cliff watching the lake,2021-10-19,0,5.0,"(-92.10551453, 46.78283691)",-92.10551453,46.78283691,POINT (-92.10551453 46.78283691)
2021-09-08 10:01:00,Oxford,CT,Oval,34 seconds,3 Bright Ovals scanned front to back and disappeared.,2021-10-19,0,0.5666666666666667,"(-73.11713409, 41.43481064)",-73.11713409,41.43481064,POINT (-73.11713409 41.43481064)
2021-09-08 09:18:00,Pine City,NY,Other,,MADAR Node 82,2021-10-19,0,1.0,"(-76.86940765, 42.0368042)",-76.86940765,42.0368042,POINT (-76.86940765 42.0368042)
2021-09-08 07:04:00,Swayzee,KS,Other,,MADAR Node 22,2021-10-19,0,1.0,"(-98.38018036, 38.48472977)",-98.38018036,38.48472977,POINT (-98.38018036 38.48472977)
2021-09-08 06:47:00,Goshen,KY,Triangle,7 minutes,MADAR Node 182 operator reported observing a trianglular UFO,2021-10-26,0,7.0,"(-85.57666779, 38.40325165)",-85.57666779,38.40325165,POINT (-85.57666779 38.40325165)
2021-09-08 01:00:00,Rochester,NY,Light,2 seconds,Rochester ny bright white ball of light flying fast,2021-10-19,0,0.03333333333333333,"(-77.61254883, 43.15570831)",-77.61254883,43.15570831,POINT (-77.61254883 43.15570831)
2021-09-07 22:41:00,San Marcos,CA,Chevron,<3 minutes,"Chevron shaped UFO San Marcos, CA",2021-10-19,0,3.0,"(-117.1611557, 33.13947296)",-117.1611557,33.13947296,POINT (-117.1611557 33.13947296)
2021-09-07 21:30:00,Ocean Isle Beach,NC,Flash,1.5 hours,Numerous Lights in Ocean Isle Beach,2021-10-19,0,90.0,"(-78.42856598, 33.89035416)",-78.42856598,33.89035416,POINT (-78.42856598 33.89035416)
2021-09-07 21:26:00,Grand Junction,CO,Other,,MADAR Node 75,2021-10-19,0,1.0,"(-108.5695343, 39.06537247)",-108.5695343,39.06537247,POINT (-108.5695343 39.06537247)
