Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
9/20/21 18:13,Oklahoma City (northwest part),OK,USA,Changing,15 minutes,Ufo over nw okc!,10/19/21,
9/20/21 18:00,Urbandale,IA,USA,Other,,Without realizing it I had captured a picture of a ufo while out smoking with a friend,10/19/21,
9/20/21 12:00,Williams town,NJ,USA,Fireball,Straight,I saw a ufo in the air with a bright little light I didnt know what to do but just watch and at 0:00 I heard a noise and i put up my c,10/19/21,
9/20/21 08:03,Los Altos,CA,USA,,,MADAR Node 52,10/19/21,
9/20/21 03:45,Corcoran,CA,USA,Fireball,5 mins,Orange UFO,3/4/22,
9/20/21 03:00,Wells,ME,USA,Triangle,10 seconds,Loud TR3B style triangle UFO.,10/19/21,
9/20/21 01:00,Salineville,OH,USA,Sphere,1 to 3 minutes,Brightspear light that rotates and pulsates when it moves bright white and red,10/19/21,
9/20/21 00:00,Reykjavík (Iceland),,Iceland,Unknown,30-60 minutes,lights in sky. fleet or gigantic craft,10/19/21,
9/19/21 23:15,kingston,ON,Canada,Light,5 seconds,"Bright red light with flashing white or blue lights, stationary, then very rapidily mooves away north",10/19/21,
9/19/21 21:30,Nyack,NY,USA,Triangle,60 seconds,Possible UFO sighting,10/19/21,
9/19/21 19:15,McCall,ID,USA,Other,2 MINUTES,"McCall Idaho 6-8 white dots observed and photo evidence (2 photos) of green ""A"" type object in two locations on lake.",10/19/21,
9/19/21 18:28,Thorofare,NJ,USA,Circle,2 minutes,Weird sighting in south NJ,10/19/21,
9/19/21 18:00,Spokane,WA,USA,Oval,5 minutes,Small white tictac uap shooting bursts of white light,11/15/21,
9/19/21 17:10,Montreal,QC,Canada,Cigar,Around 10 minutes,"Object emitting bright blue light in daylight. Montreal, Canada.",10/19/21,
9/19/21 13:45,Toms River,NJ,USA,Circle,2 seconds,Light orange colored disk traveling at rapid speed and low altitude.,10/19/21,
9/19/21 09:41,Plainfield,CT,USA,Teardrop,,A purple teardrop shaped lighting with an alien shaped head inside.,10/19/21,
9/19/21 09:41,Plainfield,CT,USA,Teardrop,2 min,My boyfriend and I were walking the Quinebaug Trail in Plainfield Connecticut and I took a picture of the sun rays coming through the t,10/19/21,
9/19/21 06:00,Osceola,IN,USA,Disk,1 hour,Strange round object with lights,10/19/21,
9/19/21 05:15,Jonesboro,AR,USA,,,MADAR Node 143,10/19/21,
